title,link,image,author,price,discount,publisher,pubdate,isbn,description
<b>바깥은 여름</b> (김애란 소설),http://book.naver.com/bookdb/book_detail.php?bid=12143302,https://bookthumb-phinf.pstatic.net/cover/121/433/12143302.jpg?type=m1&udate=20220112,김애란,13000,11700,문학동네,20170628,8954646077 9788954646079,"작가생활 15년간 끊임없이 자신을 경신해오며, 지금 우리가 발 딛고 서 있는 곳의 이야기를 우리의 언어로 들었을 때 느끼게 되는 친밀감과 반가움, 그 각별한 체험을 선사해온 저자가 《비행운》 이후 5년 만에 펴내는 신작 소설집 『<b>바깥은 여름</b>』. 제37회 이상문학상 수상작 《침묵의 미래》, 제8회 젊은작가상... "
"<b>무례한 사람에게 웃으며 대처하는 법</b> (인생자체는 긍정적으로, 개소리에는 단호하게)",http://book.naver.com/bookdb/book_detail.php?bid=13069258,https://bookthumb-phinf.pstatic.net/cover/130/692/13069258.jpg?type=m1&udate=20220112,정문정,13800,12420,가나출판사,20180108,8957369368 9788957369364,"이제는 일본을 비롯하여 대만, 베트남, 태국, 인도네시아에까지 수출되어 아시아 전역에서 인기를 끌고 있는 책 『<b>무례한 사람에게 웃으며 대처하는 법</b>』이다. 갑질이나 권력관계에서 좋게좋게 넘어가는 게 미덕이라 여겼던 사람들이 ‘목소리를 내야 바꿀 수 있다’로 생각이 달라지고 있다. 이 책은 사회적... "
<b>살인자의 기억법</b>,http://book.naver.com/bookdb/book_detail.php?bid=16589900,https://bookthumb-phinf.pstatic.net/cover/165/899/16589900.jpg?type=m1&udate=20210110,김영하,10000,9000,복복서가,20200828,119702168X 9791197021688,"김영하 등단 25주년을 맞이해 새롭게 선보이는 '복복서가 김영하 소설'의 네번째 작품으로 &lt;<b>살인자의 기억법</b>&gt;을 출간한다. 김영하의 일곱번째 장편소설인 &lt;<b>살인자의 기억법</b>&gt;은 2013년 문학동네에서 초판이 출간된 이래로 지금까지 56쇄를 중쇄하며 많은 사랑을 받아왔으며, 2020년 독일에서 '최고의... "
"<b>자존감 수업</b> (하루에 하나, 나를 사랑하게 되는 <b>자존감</b> 회복 훈련)",http://book.naver.com/bookdb/book_detail.php?bid=10962059,https://bookthumb-phinf.pstatic.net/cover/109/620/10962059.jpg?type=m1&udate=20220212,윤홍균,14000,12600,심플라이프,20160901,1186757094 9791186757093,"자존감, 지금 시작해도 늦지 않다!『<b>자존감 수업</b>』은 자존감 전문가이자 정신과 의사인 윤홍균 원장이 2년 넘게 심혈을 기울여 쓴 책으로, 자존감이 우리 삶에 미치는 영향을 친절하게 알려주고, 자존감을 끌어올리는 실질적인 방법을 알려준다. 높은 자존감을 갖고 싶지만 방법을 모르는 사람, 낮은 자존감... "
<b>쇼코의 미소</b> (최은영 소설),http://book.naver.com/bookdb/book_detail.php?bid=10785953,https://bookthumb-phinf.pstatic.net/cover/107/859/10785953.jpg?type=m1&udate=20211207,최은영,12000,10800,문학동네,20190620,8954641636 9788954641630,"&#x0D;그녀가 앞으로 쓰게 될 근사한 이야기들이 바로 이 책에서 시작했다.” &#x0D;_김연수(소설가)&#x0D;&#x0D;&#x0D;2013년 겨울, 『작가세계』 신인상에 중편소설 「<b>쇼코의 미소</b>」가 당선되어 등단, 그 작품으로 다음해 젊은작가상을 수상하면서 많은 사람들에게 특별한 인상으로 다가갔던 바로 그 신인 소설가... "
<b>개인주의자 선언</b> (판사 문유석의 일상유감),http://book.naver.com/bookdb/book_detail.php?bid=9595780,https://bookthumb-phinf.pstatic.net/cover/095/957/09595780.jpg?type=m1&udate=20220317,문유석,13500,12150,문학동네,20220315,8954637752 9788954637756,"하지만 ‘개인주의’야말로 르네상스 이후 현대에 이르기까지 인류 문명의 발전을 이끈 엔진이었다.『<b>개인주의자 선언</b>』은 현직 부장판사인 문유석이 진단한 한국사회의 국가주의적, 집단주의적 사회 문화를 신랄하게 파헤친 책이다. 저자는 가족주의 문화가 만연한 한국 사회에서 수많은 개인들이 ‘내가 너무... "
<b>봉제인형 살인사건</b>,http://book.naver.com/bookdb/book_detail.php?bid=12661649,https://bookthumb-phinf.pstatic.net/cover/126/616/12661649.jpg?type=m1&udate=20210919,다니엘 콜,15000,13500,북플라자,20171020,8998274930 9788998274931,"하나로 꿰매진 몸통, 여섯 명의 희생자!2016년 4월 런던 도서전에서 가장 큰 주목을 받은 다니엘 콜의 데뷔작 『<b>봉제인형 살인사건</b>』. 《데렐 가족》을 히트시킨 ITV사가 TV판권을 획득하며 영국에서 드라마화 제작 확정된 이 작품은 신체의 여섯 부위를 바늘과 실로 꿰매 이어 붙인 살인사건이라는 섬뜩한 소재를... "
<b>인어가 잠든 집</b> (人魚の眠る家),http://book.naver.com/bookdb/book_detail.php?bid=14564623,https://bookthumb-phinf.pstatic.net/cover/145/646/14564623.jpg?type=m1&udate=20220317,히가시노 게이고,17800,16020,재인,20190228,8990982774 9788990982773,"지금 이 아이의 가슴에 칼을 꽂는다면, 그래서 아이의 심장이 멈춘다면, 딸을 죽인 사람은 저입니까?‘인간이란 무엇이며 삶과 죽음, 사랑의 정의는 무엇인가’라는 난제에 도전한 히가시노 게이고의 휴먼 미스터리 『<b>인어가 잠든 집</b>』. 히가시노 게이고의 작가 데뷔 30주년을 기념해 2015년에 발표된 이..."
<b>라플라스의 마녀</b> (히가시노 게이고 장편소설),http://book.naver.com/bookdb/book_detail.php?bid=10007513,https://bookthumb-phinf.pstatic.net/cover/100/075/10007513.jpg?type=m1&udate=20210515,히가시노 게이고,14800,13320,현대문학,20160111,8972757578 9788972757573,"인류의 미지의 영역에 도전한 히가시노 게이고의 80번째 작품!히가시노 게이고 작가 데뷔 30주년 기념작 『<b>라플라스의 마녀</b>』. 그동안 치밀한 트릭과 반전이 빛나는 본격 추리소설부터 우리 시대의 문제점을 파고든 사회파 작품, 서스펜스, 판타지, SF에 이르기까지 다양한 장르를 오가며 미스터리의 경..."
<b>내게 무해한 사람</b> (최은영 소설),http://book.naver.com/bookdb/book_detail.php?bid=13733364,https://bookthumb-phinf.pstatic.net/cover/137/333/13733364.jpg?type=m1&udate=20220205,최은영,13500,12150,문학동네,20190620,8954651828 9788954651820,그렇게 발표한 일곱 편의 중단편소설을 다시 처음부터 끝까지 꼼꼼히 매만지며 퇴고한 결과물이 『<b>내게 무해한 사람</b>』이다. &#x0D;&#x0D;특정한 시기에 여러 번 듣게 된 노래에는 강력한 인력이 있어 그 노래를 다시 듣는 것만으로도 당시의 기억이 함께 이끌려 나온다. 『<b>내게 무해한 사람</b>』에 실린 일곱 편의... 
