,영화명,유형,장르,제작년도,감독,출연,줄거리
8894,일상적인 삶,애니메이션,드라마,2010.0,김준,김준,"거리,길,일상,순간,멈춤"
8895,반짝이던 날의 기억,애니메이션,드라마,2009.0,김준,,"햇빛,길,봄,사람들"
8896,묘아,애니메이션,,2010.0,강민지,강민지,고양이
8897,헬로!,애니메이션,드라마,2006.0,강민지,강민지,"릴레이,그림,연상,스케치,결과"
8898,뾰루지,애니메이션,드라마,2006.0,강민지,강민지,"뾰루지,창작,그림,갈등"
8899,내 하루에 대한 기록,애니메이션,드라마,2008.0,강민지,강민지,"평범한,일상,기록,하루"
8900,피아노가 있는 풍경,애니메이션,드라마,2006.0,강민지,강민지,"과거,회상,그리움"
8901,착한 살인자들,극영화,드라마,2010.0,이체,이체,"살인,시한부,안락사,은폐,의사,조각가,폭력남편,형사,연쇄강간범,정신병,정신박약"
8902,굿바이 마이 스마일,극영화,드라마,2010.0,김주환,김주환,"무대,방황,연극,연기지망생,재수생,진로고민,극단,연극단원,연기,연기연습,배우,배우지망생,연극배우"
8903,춤추는 동물원,극영화,"드라마,멜로드라마,뮤직",2009.0,"김효정,박성용",김효정,"동거,동물원,레코드가게,듀엣,라이브공연,뮤지션,원숭이,동물친구,음악,홍대클럽,홍대,공연,연인"
8904,딜리버리 브라더스,애니메이션,드라마,2004.0,최영훈,최영훈,"미국,중국식당,배달"
8905,모비딕,극영화,"드라마,스릴러",2011.0,박인제,"박인제,박신규","고향,기자,정부,폭발사고,후배,사회부기자,비리,정치비리,폭발,조작,진실,취재,취재기자,부정부패,행정부패"
8906,구멍,애니메이션,드라마,2006.0,정연주,정연주,"어머니,부정,죄의식,삶의굴레"
8907,거위도 난다,극영화,"드라마,가족",2008.0,김형석,김형석,"벙어리, 장애, 닐스"
8909,비만가족,극영화,드라마,2007.0,김정욱,"허준일,김정욱","가족, 비만, 장례식"
8910,장님은 무슨 꿈을 꿀까요?,극영화,"드라마,판타지,멜로드라마",2005.0,유지태,유지태,"장님,침술사,판타지,욕망,여자,상상"
8911,둥둥둥,애니메이션,판타지,2008.0,윤혜정,윤혜정,"요정, 음악, 도둑, 왕, 성, 병사"
8912,물고기 옷,애니메이션,"드라마,판타지,코메디",2007.0,이선주,이선주,"종이인형딸, 부녀, 애니"
8913,아름다운 편의점,극영화,"드라마,코메디",2007.0,오태훈,오태훈,"아르바이트생,사회초년생"
8914,시린 귀를 감싸며,극영화,,2004.0,문제용,문제용,"음악,소리"
8915,시대역전! 일처다부,극영화,"코메디,드라마",2007.0,김희재,,"일처다부, 사회비판"
8916,노량진 토토로,극영화,,2005.0,박성진,박성진,"20대,꿈,사랑,현실,애니메이터,만화,고시원,일본,여자친구"
8917,비브리본,애니메이션,"드라마,판타지",2003.0,김남균,김남균,"안기부,악당,토끼가면"
8918,길동무,애니메이션,SF,2005.0,한희창,,"로봇, 박사, 기억"
8919,낙원,극영화,,2006.0,김희재,김희재,"입양, 복수"
8920,눈 안의 세계,애니메이션,드라마,2004.0,유희진,유정연,"시력교정수술, 아내, 시선"
8921,만선,애니메이션,드라마,2003.0,최민호,최민호,"만선,어부,엄마,태풍,어촌"
8922,굿바이 데이,극영화,드라마,2007.0,유상욱,유상욱,"고등학생,남학생,고교생,우정,단짝친구,뉴욕,도피,해외도피,뇌종양,악성뇌종양,시력상실증,시력회복수술"
8924,인사동 스캔들,극영화,"드라마,범죄,액션",2009.0,박희곤,박희곤,"그림복원,그림복제,미술복원,미술복제,사기극,인사동,갤러리,미술,그림"
8925,연인들,극영화,"멜로드라마,청춘영화,옴니버스,드라마",2008.0,김종관,김종관,"수다,연인,옴니버스영화,원컷원신영화,장애인,집단폭행,카메라,카페,선후배,청춘,일본유학생,유학생,한국유학생,건널목,구멍"
8926,박쥐,극영화,"드라마,공포(호러)",2009.0,박찬욱,"박찬욱,정서경","겁탈,교통사고,구두,구타남편,낚시,마마보이,마작,목조건물,물침대,뱀파이어,보드카,불륜,살육,살인,성적욕망,신부,신앙,욕망,원초적욕망,자해,종교,질주,코마,폭력남편,피리,한복집,한옥집,환생,흡혈귀,육체적욕망,해외영화제수상작,칸영화제"
8927,하늘아래,극영화,드라마,2009.0,안평욱 ,,"장기,할아버지,할머니,가스,여성지위,빨래,부부관계"
8928,죽어도 살래요,극영화,드라마,2009.0,김민준,,"여자친구,이별,고민,불운,자살"
8929,투게더,극영화,"드라마,범죄",2009.0,권준영,,"비리,형사,범죄,함정"
8930,하녀,극영화,"스릴러,멜로드라마",2010.0,임상수,임상수,"골프채,리메이크,불륜,상류층,쌍둥이,와인,요가,욕조,유니폼,유모,유산,저택,하녀,한약,불륜,가정부,자살,아이,임신,낙태"
8931,창피해,극영화,"멜로드라마,드라마",2010.0,김수현,김수현,"동성애,소매치기,수갑,자살미수,동성애인,레즈비언,첫사랑"
8932,꼬마버스 타요,TV-애니메이션,"아동,가족",2010.0,김민성,"최종일,이우진,공병필","시내버스,서울,교통수단,친구들"
8933,"혜화,동",극영화,드라마,2010.0,민용근,민용근,"10대임신,상처,아이,용서,입양,유기견,청소년임신,고등학생,고교생,임신,강아지,고교시절,18살,18세"
8934,7광구,극영화,"액션,SF,어드벤처,스릴러",2011.0,김지훈,"김휘,윤제균,김지훈","괴물,괴생물체,석유,심해,해저,시추선,괴생명체,입체영화,3D영화"
8935,꼭 껴안고 눈물 핑,극영화,"멜로드라마,드라마",2009.0,김동원,김동원,"바람기,부부관계,연극,외도,남편의외도,부부,결혼,결혼생활"
8936,엄마는 창녀다,극영화,"드라마,가족",2009.0,이상우,이상우,"매춘,모자지간,에이즈,포주,엄마와아들,엄마와아들,성매매,남편의외도,외도,가족,가족붕괴,가족해체,연민,성행위"
8937,카페 느와르,극영화,"드라마,멜로드라마",2009.0,정성일,정성일,"미혼모,불륜,음악교사,이별,청계천,편지,풍선,한강,선생,선생님,학부모"
8938,숨은 책,애니메이션,판타지,2006.0,정민영,정민영,"도서관,사서,로봇,책,미로"
8939,캬라멜리아,애니메이션,판타지,2004.0,정소영,,"세탁소,카라멜,시선,동일시,화풀이"
8941,밀물,실험영화,실험,2007.0,장은주,,"핸드프린팅, 푸티지, 사랑"
8942,봄에 피어나다,극영화,드라마,2008.0,정지연,정지연,"봄비, 섭식장애"
8949,Hello Stranger,극영화,"코메디,드라마",2006.0,조승연,조승연,"택시, 동창, 허세"
8951,홍길동의 후예,극영화,"액션,코메디,드라마,활극",2009.0,정용기,박정우,"도둑,소설원작,의적,형사,히어로,홍길동,가문,정의,정의의사도,정의의용사,사회정의실현,사회정의구현"
8952,정승필 실종사건,극영화,코메디,2009.0,강석범,서진원(시나리오),"자산관리사,금융계,실종사건,실종,보험회사직원,보험회사,보험사기,보험,보험금,용의자"
8954,악,애니메이션,"액션,범죄,스릴러",2007.0,류소연,안정호(시나리오),"대사없음, 사회풍자,엽기,폭력,악"
8955,패밀리,애니메이션,"드라마,가족",2008.0,최은미,최은미,"가족, 독립애니메이션, 고양이"
8958,가이스터즈,TV-애니메이션,"액션,SF",2001.0,장종근,아다치 시케히코,"한일합작, 미래, 크리쳐, 검사, 전쟁, 혜성"
8964,돼지의 왕,애니메이션,스릴러,2010.0,연상호,연상호,"대필작가,동창,부도,우상,중학교,살인,우발적살인,진실,과거,중학생"
8966,핑크 ,극영화,드라마,2011.0,전수일,"김경로,전수일","상처,선술집,정신지체,철거,항구,섬,소외,소외계층,철거투쟁,성폭행,가족사"
8967,커플즈 ,극영화,"코메디,멜로드라마",2011.0,정용기,이계벽,"결혼,기적,버스,커플,차도녀,젤리,우연,실종,싱글,연인,교제"
8968,살 중의 살,실험영화,,2010.0,이원우,이원우,"몸,속옷,엑스레이,레이스,파장"
8969,R2B: 리턴 투 베이스,극영화,"액션,드라마",2011.0,김동원,"안상훈,김동원(이만희,최종구,최영준,신동선,김기동)","공군,공군조종사,구출작전,귀순,문제아,전투기,정비공,조종사,전투조종사,에어쇼,북한전투기,위장귀순,비행사,비행,비행기,공습,공습경보,비행기조종사"
8970,스파이 파파,극영화,"코메디,가족",2011.0,한승룡,한승룡,"1970년대,간첩,남파간첩,남파공작원,반공,스파이,암호해독,암호해독가,아빠와딸,아버지와딸,삐라"
8971,꽃님이,극영화,드라마,2010.0,정동락,정동락,"우산장수,더위,인간관계,유품"
8972,엄마의 휴가,극영화,"코메디,뮤지컬",2009.0,김광복,,"주부, 청소, 오르가즘"
8974,광대의 최후 (프레임),실험영화,"드라마,실험",2009.0,조용운,,"프레임,무대,광대"
8975,인도에서 온 말리,극영화,드라마,2009.0,장재현,,"이주노동자,인도,가방 분실,파출소,컨테이너"
8976,하얀 민들레,극영화,드라마,2008.0,고경아,,"모녀,엄마,카세트테잎,일상"
8979,Gordian knot ,극영화,"뮤직,실험",2001.0,김삼력,,뮤직비디오
8980,집배,극영화,드라마,2001.0,김문흠,,"우체부,할머니"
8981,무명의 발레리나,애니메이션,드라마,2008.0,양성준,,"발레리나,연주,할아버지,거리공연,첼로"
8982,맷가이버 김,애니메이션,드라마,2009.0,현창호,,"중년남자,중년의위기"
8983,내 자리는 어디인가,극영화,드라마,2002.0,박범재,,청소년
8985,키싱구라미,극영화,드라마,2002.0,박미선,,"단짝친구,우정,키싱구라미"
8986,절연주의사항,애니메이션,"드라마,판타지",2009.0,"주재범,김성대",,"오랜연인,이별,해변가,가방"
8987,최고의 식사,애니메이션,드라마,2009.0,김은혜,,"식사,만찬,음식,쓰레기,부랑자"
8992,처음 만난 사람들,극영화,드라마,2007.0,김동현,김동현,"불법체류자,외국인노동자,탈북자,새터민,탈북,임대아파트,택시,택시기사,부산,베트남,이주노동자,해외노동자,이방인,동행"
8993,유 앤 유,극영화,"드라마,하이틴(고교),뮤직",2008.0,박제현,박제현,"사춘기,연습,월드비전선명회,합창단,노래,합창,합창대회,오해,밴드,보컬,음악,꿈,하모니아"
8994,차우,극영화,"액션,코메디,어드벤처",2009.0,신정원,"신정원,김용철","멧돼지,사냥꾼,포수,시체,짐승,습격,식인,돌연변이,유전자변이,괴물"
8995,로니를 찾아서,극영화,드라마,2009.0,심상국,심상국,"스포츠,이주노동자,친구,태권도,다문화,태권도장,사범,방글라데시,외국인노동자,해외노동자"
8996,4교시 추리영역,극영화,"스릴러,공포",2009.0,이상용,신동엽,"고등학생,노트북,살인,왕따,체육시간,고등학교,고교생,전교일등,살인사건,살인용의자,용의자"
8998,탑블레이드 V,TV-애니메이션,"액션,어드벤처,스포츠",2001.0,김용선,"김상훈,손상희","한일합작,팽이, 성수, 라이벌, 경쟁, 청룡"
9000,완벽한 파트너,극영화,코메디,2011.0,박헌수,박헌수,"선생,슬럼프,연상연하,요리,제자,사제지간,시나리오,시나리오작가,연애,사제간의사랑,표절,텃세,예술"
9001,파리의 멋진 인생 ,극영화,드라마,2008.0,박성미,,"스타,꿈,길거리,가수,가난"
9002,백발소년의 사춘기  ,극영화,드라마,2009.0,이재우,,"고독,손자,에로비디오,할아버지,노인,성"
9003,그 날,극영화,"시대극/사극,드라마,사회물(경향)",2008.0,조재형,조재형,"광주,민주항쟁,5.18민주화운동,광주항쟁,광주민주항쟁,5.18,518,518민주화운동"
9004,우리 학교 대표,극영화,"드라마,하이틴(고교)",2008.0,박상준,박상준,"시험, 학교"
9005,"어디가, 어디 있었어? ",극영화,드라마,2008.0,선환영,선환영,"이혼가정,부모이혼,아버지,딸"
9006,해와 달,극영화,드라마,2008.0,차현석,차현석,"사형수,죽음"
9007,이분의 일,극영화,드라마,2008.0,신승환,신승환,"신호대기,횡단보도,2분,확률,옛연인,돈"
9008,너의 출입,극영화,드라마,2008.0,이은천,이은천,"교회,A/S기사,여자,술주정,취객,기도"
9009,Rachmaninov Op.34 No.14,극영화,드라마,2008.0,김완,"김완,천현주","사랑,연예"
9010,가면,극영화,"판타지,실험",2008.0,허승범,,"가면,사회,학교,입시"
9011,"거칠고, 힘들고, 슬프다",극영화,드라마,2008.0,최윤태,최윤태,"거지,장애인,사회적편견"
9012,그 남자 거기 있었다,극영화,스릴러,2008.0,유재영,유재영,"살인사건,목격자"
9013,리틀 프로그: 기차 노래,애니메이션,드라마,2009.0,한승무,,"하늘을 날다,기차,여행"
9014,추억이라 부르는 이름의 노래,뮤직비디오,"드라마,멜로드라마",2010.0,최진성,,"추억,사랑,기억,회상"
9015,물거인의 하루,애니메이션,"드라마,판타지",2008.0,이성강,,"호수,물,거인,여행,한반도,러시아,유럽,환경오염,사막,망아지"
9016,사비의 꽃,애니메이션,"멜로드라마,판타지",2009.0,김문생,,"마법사,전쟁,납치,괴물,사랑,희생"
9017,대단한 사총사,애니메이션,"코메디,드라마,SF",2009.0,"신석원,홍인표,김준희",,"영웅,우주선,지구특공대"
9018,범준이,애니메이션,드라마,2009.0,정경환,,"개,동물"
9019,케이크 위의 체리,애니메이션,"드라마,가족",2009.0,이혜빈,,"생일,생일파티,가족,무관심"
9020,현저동 0번지,극영화,드라마,2008.0,박용석,박용석,"재건축,철거촌,도시"
9021,사이다 마시던 날,애니메이션,드라마,2009.0,"김기봉,이일호,정영선",,"아버지의죽음,사이다"
9022,수달 이야기,애니메이션,드라마,2010.0,권미정,,"환경,동물,가족"
9023,라인,애니메이션,드라마,2010.0,"박형익,윤홍란",,"벽,남녀,경계,침략"
9024,뫼,극영화,"드라마,공포(호러),스릴러",2009.0,김동민,,"밀렵,빚,올무"
9025,히어로,극영화,"드라마,공포(호러),스릴러",2010.0,김홍익,김홍익,"영웅,왕따,피,학원폭력,흡혈귀,초능력,초능력자,약자"
9026,빨강,극영화,드라마,2010.0,고은기,,"아버지와딸,임신,살인,금붕어,악기수리공,사랑"
9027,알콩달콩 슈가타운,애니메이션,판타지,2005.0,황철,윤장하,"사탕,요정,환상,불꽃놀이,말괄량이,닌자"
9028,로보뜨의 미래 ,애니메이션,판타지,2006.0,이지미,이지미,"물고기,로봇,관절염,춤"
9029,디지털 삼인삼색 2007 - 메모리즈,극영화,드라마,2007.0,"하룬 파로키,페드로 코스타,유진 그린","페드로 코스타,유진 그린","전쟁,제2차세계대전,세계대전,수용소,나치,유대인,유태인,유태인수용소,실업자,이혼,자살,기억,기억상실"
9030,장마,극영화,드라마,2007.0,고충길,고충길,"버스정류장,비,버스,버스정류소,남녀,남녀관계,남과여"
9031,토이 아티스트,애니메이션,드라마,2006.0,"장욱상,이재민,최영희,최동혁,박치곤,김혜진","장욱상,김혜진,이재민,최영희,최동혁,박용주","아빠, 아들, 강아지, 애니, 중앙대"
9032,"설탕둘, 프림하나, 가래한덩이",애니메이션,코메디,2006.0,서동해,서동해,"커피, 저항, 용기"
9033,그냥 거기에 있었다,극영화,"드라마,스릴러",2005.0,한율,YF TEAM(각본),"연인, 애인, 화장실, 시체, 범인"
9034,떨,극영화,드라마,2006.0,양경모,양경모,"양아치, 임신, 곰팡이, 돈, 땡칠이"
9035,내가 점 본 얘기 해 줄까?,극영화,드라마,2006.0,김태봉,김태봉,"점, 이야기"
9036,초대,애니메이션,드라마,2001.0,"김무연,김승인,김정우,박미랑,박진우,예지영,이미영",예지영,"편지,할머니,이웃"
9037,혁명가적 자질 : 자아관념,실험영화,실험,2005.0,고창민,고창민,"실험영화, 남자, 몸, 만화"
9038,총 냄새,극영화,드라마,2001.0,이광복,이광복,"소원,총,단편"
9039,Slow Quick Quick Slow,극영화,,2006.0,오희정,오희정,"시간, 상대성, 속도차"
9043,물없는 바다,극영화,"드라마,멜로드라마",2009.0,김관철,김관철,"바다,배달,욕,인터넷,죄책감,틱증후군,동생의죽음,메신저,메신저보이,남과여"
9044,아테나: 전쟁의 여신,극영화,"액션,스릴러",2010.0,"김영준,김태훈,황정현","김현준 ,유남경","국정원,미국,배신,북한,북한공작원,사랑과우정,스파이,액션,정보원,특수정보원,TV원작,TV드라마원작,비밀첩보원,첩보,첩보요원,첩보물,첩보활동,핵,핵무기,핵미사일"
9052,세발자전거,극영화,드라마,2008.0,이정휘,,자전거
9053,Outer Planet ,애니메이션,판타지,2007.0,이승욱,,"사회풍자,흑백애니메이션"
9054,좀비와 자이브를,극영화,드라마,2008.0,최기석,최기석,"비정규직,정규직,관계"
9055,마지막 귀갓길,극영화,"드라마,스릴러",2009.0,김준성,,"자매,막차,버스,연쇄살인"
9056,올 스탠바이,극영화,드라마,2008.0,임지은,,"영화촬영,배우,촬영감독,사랑"
9057,너에게로 가는 길,극영화,"드라마,멜로드라마",2009.0,박지훈,,"시골소년,서울소녀,전학,우산,쪽지"
9058,저녁식사,극영화,"드라마,가족",2009.0,김지산,,"저녁식사,가족,현대사회,축구경기"
9059,가자 여행,극영화,드라마,2009.0,오세인,,"가족,여행"
9060,조금 특별한 그녀,극영화,드라마,2009.0,하현주,,"여성성,트랜스젠더,여성호르몬,생리,폐경,조기폐경"
9061,관객과의 대화,극영화,"코메디,드라마",2009.0,정은경,정은경,"영화제,관객과의 대화"
9062,Closed,애니메이션,"드라마,판타지",2009.0,"정다애,남궁윤,유현아,명희원,송영국",,"소녀,자폐증,장애인,장애아동,자폐성장애"
9064,멤버쉽 트레이닝,극영화,드라마,2009.0,최신춘,,"MT,동아리,불만,선배"
9065,상봉,극영화,드라마,2009.0,장재진,,가족
9066,나빌레라,애니메이션,"뮤직,판타지",2007.0,박성곤,,"색,장기,굿,원색"
9067,처용,애니메이션,시대극/사극,2007.0,이정익,,"처용,신라,부인,운명"
9068,시간의 조각,애니메이션,,2007.0,NEW-FACE,,"축제,밤,조각,샤먼"
9069,킨,애니메이션,판타지,2008.0,"양아람,오자초",,"삶과죽음,식량,후손"
9070,하루,애니메이션,"코메디,드라마",2006.0,이광욱,이광욱,"초등학교,소년,딱지치기"
9071,할머니는 어디에?,애니메이션,판타지,2006.0,이정민,,"할머니,중학교,집신,뱀,수수께끼"
9072,라디오 데이,애니메이션,판타지,2007.0,"황현성,김용식",,"개구리,간첩,외계인,아내,정체성"
9073,피안도,극영화,"액션,공포(호러)",2009.0,김태균,오이시 테츠야,"고교생,만화원작,뱀파이어,섬,실종,일본만화원작,한일합작,흡혈귀,고등학생,행방불명,형"
9074,플레이,극영화,"드라마,멜로드라마,뮤직",2011.0,남다정,남다정,"기타,기획사,록밴드,음악,인디밴드,청춘,드러머,밴드,락밴드,밴드부,록음악,공연"
9075,가문의 영광 4 - 가문의 수난,극영화,"액션,코메디",2011.0,정태원,"김영찬,정태원","가문,가족,기업,삼형제,시리즈,여행,일본,조폭,해외여행,형제,속편"
9079,내일의 기억,애니메이션,,2008.0,오상민,,"지구온난화, 펭귄, 가상미래"
9080,Natural Star,애니메이션,,2008.0,김다혜,,"닭, 사육장, 구출작전"
9081,달콤한 거짓말,극영화,"코메디,드라마,멜로드라마",2008.0,정정화,"유승희,정정화","교통사고,기억상실,방송작가,술주정,첫사랑,거짓말,연기,연애"
9082,울고 있는 여자,극영화,드라마,2006.0,백승훈,백승훈,"여자, 눈물, 북경전영"
9083,4요일(자살을 부르는 요일),극영화,"공포,스릴러",2008.0,서민영,"권남기,위기훈","시한부인생,왕따,우울증,자살,자살사이트,폐교,살인,고립,의심"
9084,"마스크 속, 은밀한 자부심",극영화,"드라마,코메디",2005.0,노덕,노덕,"수염,마스크,제모"
9086,섰다 - 디지털 단편 옴니버스 프로젝트 이공(異共),극영화,드라마,2004.0,김의석,김의석,"화투,옴니버스영화"
9090,메트로,극영화,실험,2001.0,"김정민,이성욱,최영두,최희영",,"지하철,현대인,다큐멘터리+극영화"
9092,S보드를 타다가,극영화,드라마,2007.0,박수빈,,"S보드,보호장구,놀이기구,안전사고"
9093,중3이라는 이름,극영화,,2005.0,"정유진,김혜진",,"우정,시험,성적"
9095,담배를 물다,극영화,드라마,2005.0,한준희,,담배
9096,내리사랑,애니메이션,드라마,2007.0,변준식,,"물부족,고래,비,자식,헌신적사랑"
9097,거울 속의 낯선 자,극영화,드라마,2004.0,이윤희,,민주항쟁
9098,영어가 싫어요,극영화,드라마,2007.0,장아현,,"영어교육,조기유학"
9100,꿈꾸는 사람들,극영화,"드라마,판타지",2007.0,장요한,,"꿈,꿈꾸다,영화감독"
9102,행복한 우리 가족,극영화,드라마,2007.0,윤홍기,,"도서관,사서,정신지체,소녀,사랑,범죄,성관계,신발"
9103,엘리베이터,애니메이션,"드라마,공포(호러),스릴러",2009.0,"황나영,이경지,윤인화",,"협박,여학생,추격,살인,엘리베이터,공포"
9104,심장이 뛴다,극영화,"드라마,가족",2010.0,윤재근,윤재근,"뇌사상태,모녀,모자,심장병,심장이식,뇌사,장기이식,딸,엄마와딸,엄마와아들,가족"
9105,돌이킬 수 없는,극영화,"드라마,미스터리,스릴러",2010.0,박수영,안승환,"딸,범인,실종,아버지,용의자,유괴,저수지,편견,납치,전과자,전과범,의심,증거,증인"
9106,라스트 갓파더,극영화,"코메디,갱스터",2010.0,심형래,"심형래(WRITTEN BY),조엘 코헨,알렉 소코로브","대부,라이벌,마피아,영구,음모,후계자,바보,아들,조직,지하조직,사랑,운명적사랑,납치"
9107,달빛 길어올리기,극영화,드라마,2010.0,임권택,임권택,"복원,수공업,장인,한지,아내,조선왕조실록,전통,아내와남편"
9108,챔프,극영화,드라마,2011.0,이환경,"이환경,김영석,김황성","경마,그랑프리,도전,시각장애인,절름발이,경주마,기수,퇴물,불의의사고,시력장애,제주도,말,승마,우승"
9109,그대를 사랑합니다,극영화,드라마,2010.0,추창민,"추창민,이만희,김상수,김용덕","강풀,고독,노인,만화원작,인터넷만화원작,커플,황혼,웹툰원작,노부부,치매,치매노인,독거노인,노년부부,부부,부부애,노년,노년의사랑,사랑,가족"
9110,"사랑한다, 사랑하지 않는다",극영화,멜로드라마,2011.0,이윤기,이윤기,"부부,사랑,숨바꼭질,외도,이별,일본소설원작,5년차,배려,베를린영화제,결혼,결혼불화,결혼생활,이혼"
9112,마이웨이,극영화,"드라마,전쟁,액션",2011.0,강제규,"강제규,김병인,나현","1930년대,1930년대후반,강제징집,경성,경쟁,라이벌,마라톤,우정,일본,일본군,재회,전쟁,제2차세계대전,조선,징집,휴머니즘,희망,일제시대,일제치하,일제강점기"
9113,바이블 스토리,애니메이션,종교,2010.0,김동수,,"종교,기독교,구약성서,성경,교회"
9117,바람이 분다,극영화,드라마,2001.0,이영희,이영희,"농구,단편영화,독립영화,땡땡이,친구,폭력,화해,오해,우정,이해,달리기"
9118,사과,극영화,드라마,2009.0,정철,정철,"어머니의죽음,제사,새어머니,가족,갈등,사과"
9119,4호선,애니메이션,드라마,2002.0,김효준,,지하철
9122,굿나잇이라 하지말고 굿모닝이라 하여다오,극영화,"코메디,드라마",2002.0,유진현,,"블랙코미디,선생님"
9124,뽀로로와 노래해요,TV-애니메이션,"아동,뮤직",2005.0,우성엽,,"펭귄, 동물, 친구, 동요, 남북합작"
9128,엄마의 봄,애니메이션,"드라마,판타지",2005.0,"박선주,배효정",,"여성,가족,일상"
9129,아스피린,극영화,"드라마,공포(호러),스릴러",2008.0,한동석,한동석,"강력반형사,불면증,현기증,치료,아스피린,살인사건,생존자,환각증세"
9132,만추,극영화,"드라마,멜로드라마",2010.0,김태용,김태용,"교도소,남녀,낯선사내,낯선사람,낯선하루,등대,리메이크,만남,미국,손목시계,시애틀,약속,하루,우연한만남,낯선여자,중년여자,귀휴"
9133,초능력자,극영화,"드라마,SF",2010.0,김민석,김민석,"CCTV,전당포,초능력자,외국인,외국인노동자,조종,초능력,유토피아,통제,대결,대결전"
9134,패밀리마트,극영화,드라마,2009.0,김건,전병원,"가족,가족관계,가족해체,부부,부부관계,이혼,친구,부모,부모된도리,가족애"
9135,헬로우 고스트,극영화,"코메디,드라마",2010.0,김영탁,김영탁,"자살시도,택시기사,할아버지,꼴초,울보,초딩,가족,가족애,귀신,김밥,남동생,동생,사랑,소원,아버지,아빠,어머니,엄마,영혼,외로움,자살,자살기도,모성애,부성애"
9136,찬란한 유산,TV-시리즈,드라마,2009.0,진혁,소현경(극본),"요리,바뀜,계모"
9137,싱킹 블루,극영화,드라마,2008.0,서원태,,"수영장,익사,섹스비디오"
9138,여의도,극영화,스릴러,2010.0,송정우,"이무룡,이선경","범인,변사체,사채,살인,살인용의자,살해,샐러리맨,정리해고,증권,증권사,친구,탐욕,행운,여의도,사채빚,증권회사"
9139,정글 피쉬 2 - 극장판,극영화,드라마,2010.0,"김정환 ,민두식","서재원,김경민","고민,여고,여고생,의문사,일상,전교일등,청소년,초등학교동창,고등학교,고등학생,청소년기,사춘기,사춘기소녀"
9140,한걸음,극영화,드라마,2010.0,권순도,권순도,"1950년대,6.25,625,기독교인,사랑,한국전쟁,6.25,종교,기독교,기독교정신,남북전쟁"
9141,특수본,극영화,"액션,범죄",2011.0,황병국,"김유진,황성구","강력계형사,범죄,살인사건,살인용의자,살해,용의자,잠복근무,잠복수사,형사"
9142,완득이,극영화,드라마,2011.0,이한,김동우,"18살,가난,고등학교,고등학생,국제결혼,권투,달동네,담임선생님,도시빈민,무협소설가,반항아,불법체류자,사제지간,선생,선생님,성장,소설원작,소외계층,옥탑방,왜소증장애인,외국인노동자,이주노동자,이주여성,장애인,저소득층,제자,킥복싱,다문화,필리핀여자,결혼이주,다문화가정,동남아여성,곱추,한국소설원작,킥복싱도장,고등학교선생님,고등학교2학년,저신장장애"
9143,Mr. 아이돌,극영화,"드라마,뮤직",2011.0,라희찬,"이규복,라희찬","가수,가수지망생,노래,노래방,댄스,아이돌,프로듀서,랩퍼,스타,연예계,연예인,보컬,래퍼,가요,음악방송"
9144,애드벌룬,극영화,드라마,2011.0,이우정,,"고등학생,친구,동창,일탈,십대소녀,옥상,술"
9145,천국도청,극영화,"드라마,SF,판타지",2011.0,오현주,오현주,"천국,도청,종말,예언,종교,가족,삶,거짓말"
9147,윌리울프,애니메이션,코메디,2005.0,고욱,,"늑대,동물,보석,아동,추격,펭귄,아기곰,로봇,로보트,곰"
9148,나의 지구를 지켜줘,극영화,액션,2005.0,김병정,김병정,형사
9149,가업,극영화,드라마,2009.0,장지훈,장지훈,"가업,레스토랑,댄서,부모반대"
9150,마네킹,극영화,드라마,2002.0,시네뜰,,학교생활
9151,봄바람,극영화,드라마,2009.0,KENNY TAN,,"한국,교환학생,여행,기억,봄"
9156,나쁜아이,애니메이션,드라마,2002.0,"최신춘,임채린",,"청소년,폭력"
9157,기차가 보고 싶은 아이들,다큐멘터리,인물,2002.0,김동주,,"청소년, 전주근영여고"
9158,제7급,극영화,드라마,2001.0,송용배,,"군입대,신체검사,병역비리"
9159,그림의 떡,극영화,,2007.0,박재현,강묘애(각본),"취미, 꿈나라, 팬"
9160,2-1=4,애니메이션,"드라마,가족",2008.0,이광욱,이광욱,"가족,부녀,결혼,집,효심"
9162,미쓰 홍당무,극영화,"코메디,드라마",2008.0,이경미,"이경미,박은교,박찬욱","라이타,러시아어,목소리변조,세계음악,안면홍조,어학실,음악방송,제자,짝사랑,채팅,첫사랑,막장캐릭터,고교교사,교사,질투,왕따,비호감"
9163,"여자, 다리를 벌리다",다큐멘터리,드라마,2008.0,임미랑,,"미혼녀, 산부인과, 편견, 폭력성"
9167,사이,애니메이션,드라마,2002.0,"홍덕표,오영택",홍덕표,"놈,강아지,단절"
9168,몽유,극영화,"공포(호러),스릴러",2002.0,정강우,정강우,"몽유병,감시카메라,단편"
9169,가출,극영화,드라마,2003.0,유종미,유종미,"가정폭력,현대가족관계"
9170,골목의 끝,극영화,,2004.0,홍원찬,홍원찬,"골목,순찰,구타"
9171,Lost and Found,애니메이션,,2005.0,신영재,신영재,"여자,우산,파장,만남,애착"
9172,와인드 업,극영화,드라마,2005.0,허준영,허준영,"터널,개,사진"
9173,Under the Bed,극영화,드라마,2005.0,김보림,김보림,"침대, 악몽, 공포"
9174,구보씨일보,극영화,,2006.0,신이수,신이수,"게이,유부녀,저녁식사"
