,영화명,유형,장르,제작년도,감독,출연,줄거리
50941,프라이빗 워,극영화,"드라마,전쟁",2018.0,매튜 하이네만,아라쉬 아멜,"스리랑카,내전,종군기자,트라우마,전쟁의참혹"
50945,올인,TV-시리즈,"드라마,멜로/로맨스",2003.0,유철용,최완규,"카지노,도박,실존인물"
50948,메시지 맨,극영화,"액션,범죄,스릴러",2018.0,코리 피어슨,,"킬러,인도네시아,해적"
50955,여름내,극영화,드라마,2017.0,김준희,,"무인카페,우연한만남"
50956,여자답게 싸워라,다큐멘터리,드라마,2017.0,이윤영,,"여성영화,여성인권"
50957,옛 경기중학교를 거닐다,다큐멘터리,드라마,2017.0,민철기,,"중학교,옛추억,인터뷰다큐멘터리"
50958,폴라,극영화,"액션,범죄",2019.0,조나스 애커룬드,제이슨 로쓰웰,"청부살인업자,은퇴,퇴직금,음모,킬러,살인게임"
50959,진짜 동생이 필요해,극영화,드라마,2017.0,강예찬,,"동생,마법"
50960,홀려라,다큐멘터리,인물,2017.0,이미지,,"한글,디자이너"
50961,필그리미지,극영화,"어드벤처,액션",2017.0,브렌든 멀다우니,제이미 해니건,"신념,십자군,전쟁,수도원,성물,수도사,전투"
50962,환생,다큐멘터리,인물,2017.0,임흥순,,"베트남전쟁,이란,이라크전쟁,죽은자"
50976,1+1,극영화,스릴러,2017.0,,,"조현병,망상"
50977,사랑도 리콜이 되나요?,극영화,"코메디,드라마,뮤직",2000.0,스테판 프리어스,"D.V. 드빈센티스,스티브 핑크,존 쿠삭,스코트 로젠버그","소설원작, 로맨스, 음악광, 레코드가게, 장례식"
50978,12月 4日,극영화,드라마,2017.0,김지안,김지안,"서른,글쓰기"
