title,category,genre,year,direct,actors,content
자토이치2,극영화,액션,2008,소리 후미히코,시모자와 칸 ,"맹인,검객,방랑,사무라이,아버지의부재,전쟁"
흑권,극영화,액션,2006,나수요 ,나수요 ,"무술,챔피언,서커스단,격투기,도박,복싱,돈과명예"
세인트 클라우드,극영화,"드라마,로맨스,판타지",2010,버 스틸스,"크레이그 피어스,루이스 콜리크,벤 셔우드","초능력,죽음,생사고비"
스즈미야 하루히의 소실,애니메이션,코메디,2010,"이시아라 타츠야,타케모토 야스히로",시모 후미히코,"독감,전학,소실"
버드맨,극영화,"드라마,코메디",2014,알레한드로 곤잘레스 이냐리투,"알레한드로 곤잘레스 이냐리투,니콜라스 지아코본,아르만도 보,알렉산더 디넬라리스",롱테이크
"다시, 사랑을 꿈꾸다",극영화,"드라마,로맨스,코메디",2012,실비 테스튀,"클레어 리마레찰,실비 테스튀","사랑,엄마와아들,나이,남자,이혼"
"멘, 우먼 & 칠드런",극영화,"드라마,코메디",2014,제이슨 라이트먼,"제이슨 라이트먼,에린 크레시다 윌슨","소설원작,고등학생,학부모,인터넷"
그곳에선 아무도 거짓말을 하지 않는다,극영화,코메디,2009,"릭키 제바이스,매튜 로빈슨","매튜 로빈슨,릭키 제바이스","거짓말,해고,시나리오작가,사후세계,소설"
노라 없는 5일,극영화,드라마,2008,마리아나 체닐로,마리아나 체닐로,"노부부,만찬,초대"
빵과 튜울립,극영화,"로맨스,코메디",2000,실비오 솔디니,"실비오 솔디니,도리아나 레온데프","가족여행,히치하이킹,베니스,빵,재회"
플래닛 51,애니메이션,"어드벤처,코메디,판타지,가족",2009,호르헤 블랑코,조 스틸먼,"외계행성,우주인"
검은 바다,극영화,"드라마,로맨스",2006,로버타 토르레,로버타 토르레,"수사관,가학,성적판타지"
이다,극영화,드라마,2013,파벨 포리코브스키,파벨 포리코브스키,"고아,수녀,수녀원,컬러시대흑백영화"
군중 속의 남자,극영화,드라마,2013,"마르셀로 고메스,카오 구이마라에스",마르셀로 고메스,"소설쓰기,소설원작"
이고르와 귀여운 몬스터 이바,애니메이션,"코메디,가족",2008,엔소니 레온디스,크리스 맥케나,"과학자,연구,몬스터,사악함,여배우,로맨스,납치,오디션"
환상의 그대,극영화,"로맨스,코메디",2010,우디 알렌,우디 알렌,"위로,3류배우,배신,점쟁이,소설가,백수,직장상사,유혹,부부관계"
흑사회,극영화,"범죄,액션",2005,두기봉,"유내해,엽천성,마관위","삼합회,투표,홍콩,차기회장,낚시터"
아이 엠 넘버 포,극영화,액션,2011,D.J. 카루소,"알프레드 고호,마일스 밀러,마티 녹슨 ","초능력자,말레이시아,영국,케냐,피살,운명,9명"
메카닉,극영화,"드라마,스릴러,액션",2011,사이먼 웨스트,"리차드 웬크,루이스 존 카리노","기술자,킬러,친구의죽음,우정,암살"
블랙 헤븐,극영화,공포,2010,길스 마챈드,"길스 마챈드,도미니크 몰","휴대폰,정체불명,동반자살,목격자,캠코더,가상공간,게임"
더 박스,극영화,"드라마,공포",2009,리차드 켈리,리차드 켈리,"비밀상자,버튼,부부,도덕적딜레마,백만달러"
킬 스피드,극영화,액션,2010,킴 베스,킴 베스,"캘리포니아,비행서클,공중곡예,마약운반,비밀경찰,함정수사"
에일리언 Vs. 헌터,극영화,"액션,공포",2007,스콧 하퍼,데이빗 마이클 래프트,"기자,소설가,우주선,외계인,습격,사냥꾼,지하터널"
노미오와 줄리엣,애니메이션,"어드벤처,로맨스,코메디,판타지",2011,캘리 애즈버리,"캘리 애즈버리,마크 버튼,케빈 세실","앙숙,두집안의갈등,셰익스피어,인형,사랑"
겟,극영화,드라마,2014,로니트 엘카베츠,,"이혼,법정,이스라엘"
이미테이션 게임,극영화,"드라마,스릴러",2014,모튼 틸덤,,"암호,암호해독,제2차세계대전,천재,실존인물"
혹스: 욕망의 법칙,극영화,"드라마,코메디",2006,라세 할스트롬,윌리엄 휠러,"억만장자,자서전,거짓말,위조"
어린 창녀의 노래,극영화,드라마,2009,산드라 웨넥,엘리안느 트린다데,"십대,매춘,청춘"
데스 앳 어 퓨너럴,극영화,코메디,2010,닐 라부트,딘 크레이그,"리메이크,장례식,장의사"
온리 더 브레이브,극영화,드라마,2006,레인 니쉬카와,레인 니쉬카와,"진주만,일본계미국인,훈련,군사훈련"
영 피플 퍼킹,극영화,"드라마,코메디",2007,마틴 게로,"마틴 게로,아론 아브람스","섹스,룸메이트,오르가즘,관음증"
킹스 스피치,극영화,드라마,2010,톰 후퍼,데이빗 세이들러,"방송,스캔들,영국,왼손잡이,제2차세계대전,처칠,햄릿,연설,말더듬이,왕위즉위식,언어치료사,군주,아카데미작품상,실존인물"
유 돈 노우 잭,극영화,드라마,2010,배리 레빈슨,아담 메저,"안락사,의사,죽음,존엄사,전기영화,실화바탕,실화바탕,실존인물"
나의 사적인 여자친구,극영화,코메디,2014,프랑소와 오종,프랑소와 오종,LGBT
밀라레파,극영화,"드라마,어드벤처,액션",2006,네텐 초클링,"네텐 초클링,텐징 초양 갸리","전설,상인,재산,재앙,복수,마법"
플랫폼,극영화,드라마,2000,지아 장 커,지아 장 커,"중국,마을,선전가무단,대중문화,사회,변화"
변종샤크,극영화,공포,2011,그리프 퍼스트,,"돌연변이,공격,상어,죽음,자연"
굿 하트,극영화,드라마,2009,다구르 카리,다구르 카리,"노숙자,어린이,바텐더,후계자,규칙,여자"
슈퍼처방전,극영화,코메디,2014,대니 분,대니 분,"결벽증,캠프,오해,바뀜,가짜행세"
나이트 크롤러,극영화,"드라마,범죄,스릴러",2014,댄 길로이,댄 길로이,"교통사고,목격자,시청률,조작,특종"
빅 아이즈,극영화,드라마,2014,팀 버튼,,"그림,사랑"
주피터 어센딩,극영화,"어드벤처,액션",2014,"앤디 워쇼스키,라나 워쇼스키","앤디 워쇼스키,라나 워쇼스키","여왕,유전자,현상금사냥꾼"
카우보이,극영화,"드라마,가족",2012,뷔더윈 쿨레,,"가족,엄마,부자관계,생일,진실"
더 볼트,극영화,"스릴러,공포",2017,댄 부쉬,댄 부쉬,"은행강도,지하금고,악령,고립,유령"
딱따구리와 비,극영화,"드라마,코메디",2011,오키타 슈이치,"오키타 슈이치,모리야 후미오","감독,영화촬영,나무꾼,산골"
컨트렉트 킬러 ,극영화,액션,2009,저스틴 로디스 ,,"CIA,첩보요원,복수,강간범"
앨버트 놉스,극영화,드라마,2011,로드리고 가르시아,"글렌 클로즈,가브리엘라 프레콥,존 방빌","더블린,비밀,결혼,남장여자,여성자립"
내일을 위한 시간,극영화,드라마,2014,"장 피에르 다르덴,뤼크 다르덴","장 피에르 다르덴,뤼크 다르덴","직장동료,실직,해고"
신데렐라 : 트랩 오브 허,극영화,"드라마,범죄,스릴러",2013,이안 소프틀리,이안 소프틀리,"화재,기억상실,일기장,과거"
지옥이 뭐가 나빠,극영화,"드라마,액션",2014,소노 시온,,"야쿠자,촬영,딸,영화배우,데뷔"
불가사리 4,극영화,"코메디,액션,공포",2004,S.S. 닐슨,스콧 벅,"몬스터,속편,시리즈,프리퀄,괴물,괴수,괴수영화"
웨스턴 리벤지,극영화,액션,2014,크리스티안 레브링,크리스티안 레브링,"복수,절망"
몬스터즈,극영화,드라마,2014,나카다 히데오,와타나베 유스케,"리메이크,초능력자"
호텔,극영화,"드라마,공포",2004,예시카 하우스너,예시카 하우스너,"실종,호텔,비밀,미스테리"
사랑에 대한 모든 것,극영화,드라마,2014,제임스 마쉬,앤소니 맥카텐,"대학생,실화바탕,러브스토리,스티븐 호킹,실존인물"
넥스트 제네레이션 패트레이버5,애니메이션,액션,2014,오시이 마모루,이토 카즈노리,"로봇,범죄,정찰대"
마이 럭키 스타,극영화,"드라마,로맨스",2013,데니 고든,,"첩보,로맨틱코미디,당첨여행,운명"
유아 낫 유,극영화,드라마,2014,조지 C. 울프,"샤나 페스트,조단 로버츠","루게릭병,피아니스트,두여자,우정,간병인,가수지망생"
넥스트 투모로우 2,극영화,액션,2013,R.D. 브라운슈타인,,"재난,재난영화,화산,화산폭발"
고양이 사무라이,극영화,"코메디,액션",2014,야마구치 요시타카,,고양이
갓 헬프 더 걸,극영화,"드라마,로맨스",2013,스튜어트 머독,스튜어트 머독,"뮤지션,섭식장애,인명구조원,정신병원,스코틀랜드"
고슴도치의 우아함,극영화,드라마,2009,모나 아샤쉐,모나 아샤쉐,"아줌마,소녀,자살,우정,비밀,아파트,소설원작"
오마르,극영화,드라마,2013,하니 아부 아사드,하니 아부 아사드,"팔레스타인,이스라엘,군부대,협박,이중첩자,사랑,거짓말"
도원경,극영화,드라마,2014,리산드로 앨론소,리산드로 앨론소,낯선나라에서
빅 히어로,애니메이션,"드라마,코메디,가족",2014,"돈 홀,크리스 윌리암스","돈 홀,조단 로버츠","로봇,마블코믹스,슈퍼히어로,풍선,악당,과학"
존 윅,극영화,"범죄,스릴러,액션",2014,"채드 스타헬스키,데이빗 레이치",데렉 콜스태드,"살인청부업자,킬러,복수극,보복살인,범죄조직,지하조직,러시아갱단"
모데카이,극영화,"코메디,액션",2015,데이비드 코엡,,소설원작
타임랩스,극영화,스릴러,2014,브래들리 킹,브래들리 킹,시간여행
세인트 빈센트,극영화,"드라마,코메디",2014,데오도르 멜피,데오도르 멜피,"괴롭힘,이웃,할아버지,남자아이,우정"
백설공주 살인사건,극영화,드라마,2014,나카무라 요시히로,,"소설원작,SNS"
셀마,극영화,드라마,2014,에바 두버네이,폴 웹,"투표권,마틴루터킹,투표,시위,투쟁,흑인인권"
엘리제궁의 요리사,극영화,코메디,2012,크리스티앙 빈센트,크리스티앙 빈센트,음식
도프,극영화,"드라마,코메디",2015,릭 파무이와,릭 파무이와,힙합
포스 마쥬어: 화이트 베케이션,극영화,드라마,2014,루벤 오스트룬드,루벤 오스트룬드,"휴가,스키,눈사태"
해피 해피 와이너리,극영화,코메디,2014,미시마 유키코,,술
드라큘라 2014,극영화,판타지,2012,패트릭 맥마너스,,"드라큐라,드라큘라,뱀파이어,흡혈귀,부동산중개인"
타임 패러독스,극영화,스릴러,2014,"마이클 스피어리그,피터 스피어리그","마이클 스피어리그,피터 스피어리그",",반전,시간여행,타임루프"
구히오 대령,극영화,코메디,2009,요시다 다이하치,요시다 다이하치,"결혼,미군,변장,사기꾼,실화바탕,파일럿,소설바탕"
워터 디바이너,극영화,드라마,2014,러셀 크로우,앤드류 나이트,"시신,실화바탕,전쟁,제1차세계대전,터키,우물,풍차,자살,호텔,수피댄스,갈리폴리,호주,기차"
참을 수 없는 사랑,극영화,"드라마,로맨스",2007,매리 스튜어트 매스터슨,,"근육질환,마비,사랑"
야경,극영화,드라마,2007,피터 그리너웨이,피터 그리너웨이,"전기영화,삶,일,죽음,화가,그림,예술가,작품,일대기"
원피스 : 에피소드 오브 루피 ~핸드 아일랜드의 모험~,애니메이션,"어드벤처,판타지",2012,"모리타 히로유키,혼고 미츠루",우에사카 히로히코,"동료,해적,일본만화원작"
마담 보바리,극영화,"드라마,로맨스",2014,앤 폰테인,,고전소설원작
에이리언 애브덕션,극영화,공포,2013,매티 벡커맨,,"터널,파운드푸티지,외계인납치,헛간,UFO,가족여행,캠핑,외딴집,자폐아"
사라소주,극영화,드라마,2003,가와세 나오미,가와세 나오미,"축제,쌍둥이,실종,가족,출산,갈등"
기생수 파트1,극영화,공포,2014,야마자키 타카시,"야마자키 타카시,코사와 료타","만화원작,일본만화원작,괴생명체,기생"
패딩턴,애니메이션,"어드벤처,코메디,가족",2014,폴 킹,폴 킹,"가족,곰,런던,여행"
스끼야끼,극영화,"드라마,코메디",2011,마에다 테츠,,"경연대회,교도관,음식,수감자,회상"
127시간,극영화,"드라마,어드벤처,스릴러",2010,대니 보일,"대니 보일,사이몬 비우포이","산악등반,생존,조난사고,협곡,낙오/고립,실존인물"
러브 & 드럭스,극영화,"로맨스,코메디",2010,에드워드 즈윅,"찰스 랜돌프,에드워드 즈윅,마샬 허스코비츠","제약회사,영업사원,파킨슨병"
광대를 위한 슬픈 발라드 ,극영화,"드라마,코메디",2010,알렉스 드 라 이글레시아,알렉스 드 라 이글레시아,"스페인내전,서커스,광대,곡예사"
알파 앤 오메가,애니메이션,"어드벤처,코메디,가족",2010,"안소니 벨,벤 글럭 ",크리스 뎅크,"고향,납치,늑대,서열,정략결혼,동족"
고잉 더 디스턴스,극영화,"로맨스,코메디",2010,나넷 버스타인,,"장거리연애,실연,운명적사랑,뉴욕,샌프란시스코,이별"
엑시던트,극영화,"스릴러,액션",2009,정 바오루이,"사도금원,등력기","살인청부업자,위장사고,청부살인,용의자,추적과도주,재개봉"
톨스토이의 마지막 인생,극영화,"드라마,로맨스",2009,마이클 호프만,마이클 호프만,"톨스토이,문학청년,개인비서,아내"
인 마이 슬립,극영화,"드라마,스릴러",2008,엘렌 울프,엘렌 울프,"지난밤,꿈,수면장애,살인범,용의자,기억상실,잠"
히어애프터,극영화,"드라마,판타지",2010,클린트 이스트우드,피터 모건,"죽음,대면,초자연적힘,공장노동자,쓰나미,생존자,저널리스트,쌍둥이,자동차사고"
플라워즈,극영화,드라마,2010,코이즈미 노리히코,"후지모토 슈 ,미우라 유이코","1930년대,3대,여성,약점,극복,참된삶"
내 이름은 칸,극영화,"드라마,로맨스",2010,카란 조하르,시바니 바디자 ,"자폐증,아스퍼거증후군,미국이민,911테러,아들,죽음,대통령"
악인,극영화,"드라마,범죄,스릴러",2010,이상일,"이상일,요시다 슈이치 ","국도,온라인사이트,죽음,도피,비난,우발적살인,동행"
프리스트,극영화,"액션,공포",2011,스콧 찰스 스튜어트,코리 굿맨 ,"만화원작,뱀파이어,카톨릭사제,한국만화원작,흡혈귀"
컨트리 스트롱,극영화,드라마,2010,샤나 페스트 ,샤나 페스트 ,"그래미상,컨트리가수,스타,술,마약,요양소,미인대회,순회공연"
러시아 방주,극영화,"드라마,판타지",2002,알렉산더 소쿠로프,"아나톨리 니키포로브,알렉산더 소쿠로프","역사,영화감독,외교관,롱테이크"
더 스위치,극영화,"드라마,로맨스,코메디,가족",2010,"조쉬 고든,윌 스펙","알란 로엡,제프리 유지니다스","뉴욕,인공수정,미혼모"
내 친구의 소원,극영화,"드라마,코메디",2009,브루스 웹,"스티브 루이스,토니 오웬","리버풀,불치병,단짝,여자친구"
제인 에어,극영화,"드라마,로맨스",2011,캐리 후쿠나가 ,모이라 버피니 ,"봉건적,보수적,19세기,고아,기숙학교,가정교사,저택,삼각관계"
디어 미,극영화,"로맨스,코메디",2010,얀 사무엘,얀 사무엘,"편지,보물,행복,꿈,우물,비밀"
트론: 새로운 시작,극영화,"어드벤처,스릴러,액션",2010,조셉 코신스키,"애덤 호로위츠,리차드 제프리즈,에드워드 킷시스,브라이언 크러그만","컴퓨터전문가,실종,디지털,아버지"
줄리아의 눈,극영화,공포,2010,기옘 모랄레스,기옘 모랄레스,"시력장애,쌍둥이,언니,자살,남편,이웃,범인"
스크림 4G,극영화,공포,2011,웨스 크레이븐,케빈 윌리엄슨,"게임,고향,연쇄살인마,작가,전화,속편,시리즈"
레드라인,애니메이션,"로맨스,액션",2010,다케시 코이케오,"이시이 카츠히토,에노키도 요지","미래,레이싱,드라이버,하드코어"
리오,극영화,"어드벤처,코메디,가족",2011,카를로스 살다나,돈 라이머,"희귀종,앵무새,미네소타,브라질,야생,친구들"
엘 시크레토: 비밀의 눈동자,극영화,"드라마,범죄,스릴러",2009,후앙 호세 캄파넬라,후앙 호세 캄파넬라,"강간,반정부주의자,아르헨티나,롱테이크"
쓰리 데이즈,극영화,"드라마,로맨스,스릴러,범죄",2010,폴 하기스,"폴 하기스,프레드 카바예,귀욤 레만스","종신형,탈옥,살인누명"
앙드레 마티유,극영화,"드라마,가족",2010,뤽 디온느,뤽 디온느,"천재소년,피아니스트,작곡가,모차르트"
클라라,극영화,로맨스,2008,헬마 잔더스-브람스,"헬마 잔더스-브람스,콜로 타베니어","슈만,브람스,뮤즈,낭만주의,피아니스트,19세기"
토일렛,극영화,"드라마,코메디,가족",2010,오기가미 나오코,오기가미 나오코,"외할머니,가족,비데,화장실,피아노,군만두"
캐치 어 웨이브,극영화,"드라마,어드벤처,액션",2006,다카하시 노부유키,도요다 카주마,"고교생,여름방학,아르바이트,서핑,여자친구"
컴백 록스타,극영화,코메디,2010,니콜라스 스톨러,니콜라스 스톨러,"록스타,아프리카,레코드,컴백공연"
조나 헥스,극영화,"드라마,스릴러,액션",2010,지미 헤이워드,"마크 네벨다인,브라이언 테일러","만화원작,상처,테러리스트"
하드코어,극영화,"드라마,범죄",2004,데니스 일리아디스,데니스 일리아디스,"고아원,가출,살인"
하비의 마지막 로맨스,극영화,"드라마,로맨스",2008,조엘 홉킨스,조엘 홉킨스,"작가,공항,딸"
메가마인드,애니메이션,"어드벤처,코메디,가족",2010,탐 맥그라스," ALAN J. SCHOOLCRAFT ,브렌트 시몬스","라이벌,영웅,악당,무료함"
대지진,극영화,드라마,2010,풍소강,시 우,"지진,가족,쌍둥이,남매"
금지된 사랑 맛있는 섹스,극영화,드라마,2008,호리우치 히로시,호리우치 히로시,"여선생,제자,사랑,학창시절"
렛 미 인,극영화,공포,2010,매튜 리브스,"매튜 리브스,욘 A. 린드크비스트","뉴멕시코,뱀파이어,외톨이,살인"
하트비트,극영화,로맨스,2010,자비에 돌란,자비에 돌란,"짝사랑,다비드상,단짝친구,삼각관계,신경전"
드리프트우드,극영화,공포,2006,팀 설리반,"팀 설리반,크리스 코빈","청소년,교화원,학대,탈출"
메신저2,극영화,공포,2009,마틴 바른비츠 ,토드 파머,"농부,옥수수밭,허수아비,비디오영화"
캅아웃,극영화,"범죄,코메디,액션",2010,케빈 스미스,"롭 쿨런,마크 쿨런","야구카드,경관,킬러"
그레이티스트,극영화,"드라마,로맨스",2009,샤나 페스트 ,샤나 페스트 ,"교통사고,중년부부,임신"
씨잉 아더 피플,극영화,드라마,2005,월레스 우로다스키,개빈 포론,"약혼자,스와핑"
너티 프로페서,애니메이션,"어드벤처,코메디,가족",2008,"로건 맥퍼슨,폴 테일러",에반 스필리오토폴루스,"비디오영화,왕따,천재,발명가,퀸카,변신"
파이터,극영화,드라마,2010,데이비드 러셀,"스캇 실버리,폴 타마시,찰스 에릭 존슨","백업선수,복싱,세계챔피언,마약중독,형제,아일랜드인"
상하이,극영화,"드라마,로맨스,스릴러",2010,미카엘 하프스트롬,호세인 아미니,"진주만공격,상하이,정보부,위장잠입"
걸리버 여행기,극영화,"어드벤처,코메디",2010,라브 레터먼,"조 스틸먼,니콜라스 스톨러","신문사,여행작가,허풍쟁이,뉴욕,거인국,소인국"
생텀,극영화,"드라마,어드벤처,스릴러,액션",2010,앨리스터 그리어슨 ,"존 가빈,앤드류 와이트","해저동굴,다이버,폭풍,미로,탈출"
부기맨3,극영화,공포,2008,게리 존스,브라이언 시에브,"살해,목격자,부기맨,비디오영화"
아웃레이지,극영화,"드라마,범죄",2010,기타노 다케시,기타노 다케시,"일본 관동,하극상,폭력조직,함정"
황당한 외계인: 폴,극영화,"어드벤처,코메디",2011,그렉 모톨라,"닉 프로스트,사이몬 페그","ET,외계인,SF물,UFO,음주가무,음담패설,추격전"
하나오니 2: 사랑의 시작,극영화,"로맨스,판타지",2009,테라우치 코타로,,"신부,도깨비"
위조지폐,극영화,"드라마,범죄,코메디",2009,키무라 유이치,"무카이 코스케,이즈치 키슈,키무라 유이치","1950년대,초등학교선생,사진관,종이공장,퇴역군인"
하나오니 3: 복수의 시간,극영화,로맨스,2009,테라우치 코타로,,"복수,판타지"
변절 - 반란의 시작,극영화,"드라마,범죄,액션",2009,구예도,엽천성,"스파이,이중간첩,이중생활,경찰,조직,고뇌,최후의선택"
리슨 투 유어 하트,극영화,"드라마,로맨스",2010,맷 톰슨 ,켄트 모란,"음악,가수지망생,웨이터,청각장애인,이식수술,비극"
쿵푸 팬더 2,애니메이션,"어드벤처,코메디,액션,가족",2011,제니퍼 여,"조나단 에이벨,글렌 버거","계곡,계단,무술,용,전사,쿵푸,쿵후,팬더,시리즈,속편"
썬더일레븐 극장판 : 최강군단 오우거의 습격,애니메이션,가족,2010,미야오 요시카즈,토미오카 아츠히로,"축구,중학교,축구부,결승전,필살기,역사"
승리,극영화,드라마,2009,마르코 벨로치오,"마르코 벨로치오,다니엘라 세셀리","무솔리니,정신병,사회주의,잡지,이탈리아,결혼,파시스트,내연관계"
랭고,애니메이션,어드벤처,2011,고어 버빈스키,"고어 버빈스키,존 로건","모하비사막,카멜레온,서부사나이,무법자,보안관,황무지"
상실의 시대,극영화,"드라마,로맨스",2010,트란 안 홍,"트란 안 홍,무라카미 하루키","무라카미 하루키,소설원작,비틀즈,위대한개츠비,기숙사,연애,요양소,친구의죽음,20대"
캐리비안의 해적:  낯선 조류,극영화,"어드벤처,판타지,액션",2011,로브 마샬,"테드 엘리엇,테리 로시오","바다,샘,젊음,항해,해적,속편,시리즈"
토마스와 친구들 - 극장판 3,극영화,"어드벤처,액션,가족",2010,그렉 티어난,셰런 밀러,"기차,섬,기관차,육지,여행,바다,표류,전설"
"러블리, 스틸",극영화,"드라마,로맨스",2008,니콜라스 패클러,니콜라스 패클러,"노총각,이혼녀,데이트"
돈 조반니,극영화,드라마,2009,까를로스 사우라,까를로스 사우라,"돈 조반니,모짜르트,탄생비화"
레지던트,극영화,"드라마,공포",2010,안티 조키넨 ,안티 조키넨 ,"실연,뉴욕,전망,집주인,이웃,CCTV"
정무문: 100대 1의 전설,극영화,"드라마,액션",2010,유위강,진가상,"후계자,정무문,세계대전,상하이,일본,제국"
고향의 시,극영화,드라마,2010,카와구치 히로후미 ,"타니구치 히로키 ,정미라","1980년대,전라남도,바닷가,마을,사촌,삼각관계"
비기닝,극영화,드라마,2009,자비에 지아놀리 ,자비에 지아놀리 ,"고속도로,공사,사기꾼"
코파카바나,극영화,"드라마,코메디",2010,마르끄 피투시,마르끄 피투시,"엄마와딸,애증,결혼,지각,해고,상견례,벨기에"
탕웨이의 투캅스,극영화,"로맨스,코메디",2004,장청,황뢰,"교통경찰,변호사,자동차,압류,소송"
마이 원 앤 온리,극영화,"드라마,코메디",2009,리차드 론크레인,찰리 피터스,"변덕,엄마,뉴욕,재즈밴드,바람기,가출,완벽,환상,여행"
존레논 비긴즈-노웨어보이 ,극영화,드라마,2009,샘 테일러 우드,맷 그린할,"존레논,로큰롤,리버풀,부모이혼,록밴드"
베리드,극영화,스릴러,2010,로드리고 코르테스,크리스 스파링,"미국 노동자,이라크,지하,낙오/고립"
그린 호넷 ,극영화,"범죄,스릴러,액션",2011,미셸 공드리,"세스 로건,에반 골드버그,조지 W. 트렌들 ","슈퍼히어로,여비서,영웅,재벌2세,아버지의죽음,부패검사,커피"
베니싱,극영화,공포,2010,브래드 앤더슨,안소니 제스윈스키 ,"정전,출근길,TV리포터,방송국,술집,생존자,영사기사,물리치료사"
블랙 키스,극영화,"드라마,범죄",2004,테즈카 마코토,테즈카 마코토,"편집증,살인,실종"
리버 퀸,극영화,"드라마,어드벤처,액션",2005,빈센트 워드,"빈센트 워드,토아 프레이저,켈리 라이온스","마오리족,식민지주의,납치"
소울 키친,극영화,코메디,2009,파티 아킨,,"레스토랑,부동산,부엌,상하이,요리사,함부르크,체납,위생국,허리부상,음식"
스카이 크롤러,애니메이션,"드라마,어드벤처,액션",2008,오시이 마모루,이토우 치히로,"파일럿,소년,어른,전투"
소셜 네트워크,극영화,드라마,2010,데이비드 핀처,아론 소킨,"실화바탕,실화바탕바탕,실화바탕바탕,실화바탕바탕,실화바탕바탕,하버드,페이스북,창립자,SNS,Facebook,마크주커버그,실존인물"
리포맨,극영화,"범죄,스릴러,액션",2010,미구엘 사포크닉,"에릭 가르시아,가렛 러너","미래,대기업,인공장기,수명연장,심장마비,인공심장"
웨이스트 딥,극영화,"드라마,범죄,스릴러,액션",2006,반디 커티스 홀,"반디 커티스 홀,다린 스콧","강도,유괴,도박사,은행털이"
크랭크 - 하이 볼티지,극영화,"범죄,스릴러,액션",2009,"마크 네벨다인,브라이언 테일러","브라이언 테일러,마크 네벨다인","킬러,중국갱,인공심장"
루저스,극영화,"어드벤처,범죄,액션",2010,실벵 화이트,"피터 버그,제임스 밴더빌트","특수부대,정글,배신"
페티쉬,극영화,스릴러,2007,손수범,"손수범,마가렛 모나그핸 ","무당의딸,한인사회,옆집,운명"
네버 렛 미 고,극영화,"드라마,로맨스",2010,마크 로마넥,"이시구로 카즈오,알렉스 가랜드","장기이식,클론인간,기숙학교,삼각관계,격리생활,사랑고백"
워터 포 엘리펀트,극영화,"드라마,로맨스",2011,프란시스 로렌스,리차드 라그라베네스,"아버지의죽음,수의사,서커스단,순회공연,폭력남편"
한나,극영화,"스릴러,액션",2011,조 라이트,데이빗 파 ,"납치,복수,살인병기,소녀,여자킬러,음모,16살,정보기관,전직CIA,롱테이크"
시간을 달리는 소녀,극영화,"드라마,로맨스,판타지",2010,타니구치 마사아키,칸노 토모에 ,"교통사고,대학입학,모녀지간,시간여행,영화감독,오래된사진"
카무이 외전,극영화,"드라마,액션",2009,최양일,"최양일,쉬라토 삼페이 ","닌자,17세기,검술사,부조리,규율,배반자,추격자,자유"
트러블 러브,극영화,"드라마,로맨스,코메디",2005,"앤드류 윌슨,루크 윌슨",루크 윌슨,"텍사스,낙관론자,사기꾼,국경지대,불법신분증,위조,교도소,후유증"
데들리 크로싱,극영화,"드라마,스릴러,액션",2011,케오니 왝스먼,스티븐 시걸,"시애틀,비밀경찰,강력범죄,마약거래,러시아마피아"
잃어버린 마법의 섬 홋타라케,애니메이션,"드라마,어드벤처,판타지",2009,사토 신스케,사토 신스케,"유품,거울"
윈터스 본,극영화,"드라마,스릴러",2010,데브라 그래닉,"데브라 그래닉,앤 로셀리니","경매,마약범,보석금,실종,17세,소녀가장"
가필드 펫 포스 3D,애니메이션,"코메디,가족",2009,"마크 A.Z. 디페,이원재",짐 데이비스,"고양이,우주정복,히어로"
아이 엠 러브,극영화,"드라마,로맨스",2009,루카 구아다그니노,"루카 구아다그니노,바바라 알버티","가문,밀라노,상류층,요리사,균열,음식,재개봉"
쿵푸 힙합,극영화,드라마,2008,부화양 ,"영재신 ,노금파,주리나 ","DJ,댄서,실명,댄스대회,힙합"
마더 앤 차일드,극영화,드라마,2009,로드리고 가르시아,로드리고 가르시아,"입양,변호사,미혼모,10대임신,상처,모녀,사랑"
옹박 : 마지막 미션,극영화,액션,2010,"토니 자,판나 리티크라이","토니 자,판나 리티크라이","미션,군주,무술고수,고문,여자친구,심신수양,흑마술,복수"
투어리스트,극영화,"로맨스,스릴러,액션",2010,플로리안 헨켈 폰 도너스마르크,"플로리안 헨켈 폰 도너스마르크,크리스토퍼 맥쿼리,줄리안 펠로위스,제로미 샐레","실연,이탈리아 여행,음모,추격"
크리스마스 스타!,극영화,"드라마,코메디,가족",2009,데비 아이싯 ,데비 아이싯 ,"연극,크리스마스,할리우드,거짓말"
맹인영화관,극영화,드라마,2010,루양,,"단속반,맹인,시력"
뮤턴트 - 변종 바이러스,극영화,"드라마,공포",2009,데이빗 모렛,"루이스-폴 디상지스,데이빗 모렛","돌연변이,침입자,감염"
언스토퍼블,극영화,"드라마,스릴러,액션",2010,토니 스콧,마크 봄백,"기관차,폭주,기차"
나루토 질풍전 극장판 4 - 더 로스트 타워,애니메이션,"어드벤처,액션",2010,무라타 마사히코,,"영웅,괴물,닌자"
고스트: 보이지 않는 사랑,극영화,"드라마,로맨스,스릴러,판타지",2010,오타니 타로 ,,"CEO,도예가,도자기,급사,영혼"
사라의 열쇠,극영화,드라마,2010,질스 파겟-브레너 ,"질스 파겟-브레너 ,서지 존코어 ","제2차세계대전,유태인,비시 프랑스,기자"
일루셔니스트,애니메이션,판타지,2010,실방 쇼메,자크 타티,"세월,마술사,스코틀랜드,선술집,공연,소녀"
