title,category,genre,year,direct,actors,content
우리동네 포르노스타,극영화,코메디,2012,프랭크 가스탐비드,프랭크 가스탐비드,"포르노,스타,대박,백수,소꿉친구"
쏘우 : 데스 머신,극영화,공포,2009,크레이그 맥마흔,크레이그 맥마흔,"고문,살인마,공장"
포인트 블랭크,극영화,스릴러,2010,프레드 카바예,프레드 카바예,"아내,만삭,의식불명,납치,추격"
카이츠,극영화,"로맨스,스릴러,액션",2010,아누락 바수 ,"아누락 바수 ,로빈 바트 ","멕시코,사막,태양,결혼"
홍금보의 채리불권 ,극영화,액션,2011,"황명승 ,나혜덕 ","만력 ,엽풍진 ,증춘휘 ","무술,도장,도전,명예"
옥수수밭의 아이들,극영화,"스릴러,공포",2011,조엘 소와손,조엘 소와손,"전쟁,낙태,아이들,영혼,복수"
몬스터 대학교,애니메이션,코메디,2013,댄 스캐니온,"댄 거손,로버트 L. 배어드,댄 스캐니온","대학교,대학입학,라이벌,몬스터,친구,콤비,픽사스튜디오"
바람이 분다,애니메이션,드라마,2013,미야자키 하야오,미야자키 하야오,"전쟁,일본,만남,이별,비행기"
여자감옥 ,극영화,"드라마,스릴러,액션",2013,타케호라 테츠야,타케호라 테츠야,"관리,누명,섬,죄수,복수"
내 여친은 피규어,극영화,"드라마,판타지",2013,이시이 다카시,이시이 다카시,"해고,부당해고,마네킹,미소녀,환상"
에어라인 플라이트,극영화,"스릴러,액션",2010,존 윌리스 3세,폴 사이노어,"항공기,납치,테러리스트,딜레마"
욕망의 법칙,극영화,드라마,2012,자비에 빌랴베르데,아나 마로토,"격투기,댄서,바람,이별,삼각관계"
도터,극영화,"드라마,스릴러,액션",2012,조나단 M. 레빈,조나단 M. 레빈,"시장,자작극,납치,아빠"
세븐 싸이코패스,극영화,코메디,2012,마틴 맥도나,마틴 맥도나,"시나리오작가,사이코패스,살인"
사일런트 힐: 레버레이션,극영화,"스릴러,공포",2012,마이클 J. 버세트,마이클 J. 버세트,"여행,천사,판타지,환영,운명"
네가 원한다면,극영화,드라마,2010,아쳬로 마냐스,아쳬로 마냐스,"아버지,사랑,아내의죽음,여장"
리크리에이터 ,극영화,공포,2011,그레고리 오어 ,그레고리 오어 ,"캠핑,탈출,복제인간,시신"
욕망의 트라이앵글,극영화,"드라마,스릴러",2013,죠죠 히데오,,"주부,중매결혼,금기,불륜,배신"
명탐정 코난 : 수평선상의 음모,애니메이션,어드벤처,2005,야마모토 야스이치로,코우치 카즈나리,"추리,유람선,살인사건,탐정,애니메이션"
기억하고있다,극영화,드라마,2005,"요시다 히데아키,쿠보 토모히로,아카이시 토모유키","아카이시 토모유키,쿠보 토모히로,요시다 히데아키","옴니버스영화,옴니버스영화영화,과거,전생,환상,기억"
플레이스 비욘드 더 파인즈,극영화,드라마,2013,데릭 시엔프랜스,"데릭 시엔프랜스,벤 코씨오","강도,악연,고등학교,아들"
이고르와 학의 여행,극영화,"드라마,어드벤처,가족",2012,예프게니 루만,"디타 규리,에이타 론드너","소년,어른,모험,도전"
잔혹동화 : 헌팅 오브 엘레나,극영화,"스릴러,공포",2012,"크리스티안 비세글리아,아스카니오 말가리니",크리스티안 비세글리아,"교통사고,싱글맘,이사,호러영화,이빨요정,Tooth Fairy,유럽전설,구전설화"
식스 액트,극영화,드라마,2012,조나단 거핀켈,로나 시갈,"전학,SNS,사진,타락"
미드나잇 선,극영화,"드라마,공포",2011,스콧 ,스콧 ,"희귀병,흡혈,살인사건,폭력성,살인"
트랜센던스,극영화,"드라마,액션",2013,월리 피스터,"조던 골드버그,월리 피스터","슈퍼컴퓨터,두뇌,천재,과학자,인공지능"
